,LDL,MMAS-8,Tumor,WBC,RBC,Hb,Platelet,ALB,ALP,GGT,BUN,Cr,Free Ca,TG,LDL,HDL,HCY,GLU,HbA1C,TSH,Folic acid,Cobalamin,CYSC,CA
Blautia_hansenii,0.01693057471813074,0.0721365938313222,0.04797081129904785,-0.10600773556736234,0.08809169706541242,0.03183150514975599,-0.11683555900326092,0.2739647045002306,-0.24345204783788266,0.07996232678741914,0.016675176581271045,0.21670007259463187,0.09672830917726224,0.20532767684091593,-0.1356839413283133,-0.217070930481881,-0.16268942274827855,-0.18307593997408778,-0.1234963335854991,-0.1640175412746959,-0.25095708828191904,-0.23886380951777786,0.37836634971363264,-0.37004711271358165
Klebsiella_variicola,0.27781147337374795,0.022503974585629007,0.023404122055620362,-0.21297279204405056,-0.15698468655743014,0.05139702427148551,0.02881769356155839,0.16406925834997174,-0.3548367237174783,-0.14912396353309257,-0.08671733021257509,-0.050047186272582554,0.1254530940302303,0.0026785676707858763,0.010993379360161395,-0.046379685129881325,-0.03121630689977844,-0.3103089182418666,-0.16999966264230545,0.07879405779988352,-0.00184711875146618,-0.19710563480886414,0.09541631530079317,-0.11889478350023291
PWY-7560,-0.002241175609797052,-0.21546557054165216,-0.1219221125015347,-0.32184750733137824,0.061978552400358405,-0.08970834814077956,-0.3046466881092962,0.13145110039637287,0.0454670472779644,-0.18836082256608122,0.22309891186019812,-0.31338394163772,-0.1552600091055959,-0.16112180436105375,0.0319002670417976,0.3714705053574401,0.5208944281524927,0.04858374003492164,0.09287822054708203,0.3404216372507272,0.2551319648093841,0.27733480090816187,-0.3656882950051781,0.027866899944558824
THISYN-PWY,0.36508750683593977,0.16551673373426914,0.01741744464307639,0.020161290322580645,-0.14632806158427814,0.0742983251472714,-0.03849326384052478,-0.008800073666702787,-0.44697040832127904,0.013769065977052724,0.19172562737985777,0.20084477571860904,0.3536988373115646,-0.05022454424906567,0.024933542055657894,-0.02530253195425801,-0.25109970674486803,-0.277935659973363,-0.2834070603254835,-0.23941338624095296,-0.25073313782991197,-0.2716524619602749,0.2592662121637314,0.032083601909853904
THISYNARA-PWY,-0.17525993268612947,-0.028598157544619286,-0.08708722321538194,-0.1785190615835777,0.0011002109893554746,-0.06035592339124024,-0.11364677895773985,0.08946741561147835,0.10376753531987036,-0.18175167089709593,-0.06568208095884123,-0.32091103103850876,-0.24896723353619227,0.13142700082693462,0.1826015285840828,0.2711771359445478,0.31268328445747795,0.16041800954926955,0.27367870916146103,0.2403299765404972,0.30351906158357767,0.34808908587217413,-0.3818350937811218,0.12320103133383901
DTDPRHAMSYN-PWY,-0.3449169263477663,-0.10361935165139452,0.26126166964614583,0.003299120234604105,-0.11698910186813213,-0.11557517245131108,0.18513426894728585,-0.4191035083767202,0.26968559091082916,-0.17165435584725727,-0.24676647734536714,-0.14631927444948026,-0.6324318950786522,0.07442031009168125,0.1024841912434762,0.0764576509052579,0.10520527859237536,0.1937849555355176,0.28157152237000754,0.229880847125693,0.3478739002932551,0.29859774664864225,-0.48770671757338857,0.1362178069658369
PWY-7357,0.025101166829726983,-0.08755737275647137,-0.3657663375046042,-0.28629032258064513,0.14284406011798578,0.03338838315260098,-0.27513518583156044,0.3037858763693025,0.10193418663930728,-0.14925667519125152,0.10696271843297327,-0.4055448899107928,0.008084544852835763,0.07661992516828266,-0.10065084256291314,0.09790979756212882,0.35300586510263926,-0.09203410376426664,0.015785626417092993,0.4317140310853325,0.3607038123167155,0.10191549854919894,-0.27651392903803484,0.20386837327861457
PWY-6897,0.37337985659218886,-0.09872240686635697,-0.3657663375046042,-0.3310117302052786,0.06509581687019891,0.08512203177366404,-0.25350563757831324,0.25153543897325464,-0.22990192454261035,-0.19827455006955919,0.15906805640032218,-0.1118048157336681,0.23481928004372965,0.09146732693534222,0.05591713475717396,0.10524386479524708,-0.12939882697947214,-0.037033643347374225,-0.03285612940301914,0.04307974407857883,0.26796187683284456,0.04490880781394558,-0.057064254764982635,0.2592355034316196
PWY-6151,-0.24271931854102072,-0.14945475483934598,0.029029074405127312,-0.16532258064516128,0.021270745794205844,-0.06310771321150954,-0.21226285489203664,-0.12100101291716331,0.1633513674381705,-0.31154806617411296,0.06806718445734664,-0.35414037692979605,-0.35682241145925114,-0.18476766643451895,0.03721697821543053,0.3866886948661605,0.38892961876832843,0.302319197424852,0.29019855076074447,0.2753437259830869,0.44134897360703806,0.46870131257248515,-0.5689911705022868,0.21505180023004936
BRANCHED-CHAIN-AA-SYN-PWY,-0.04415115951300192,-0.21977488195248518,0.2032035208358912,-0.219941348973607,0.04969286301922228,-0.02788480351206236,-0.3559710398966625,-0.08946741561147835,-0.2739022928761243,-0.3631361667014705,0.33391448979075705,-0.08995789771674445,-0.07000480883932785,-0.3832829270977968,-0.22880191533427247,0.45434546509167645,0.09310850439882698,0.19506829961191177,0.08370053076970238,-0.04326306213848768,0.08394428152492668,0.2652369179868541,-0.12733952671028279,0.022916858507038507
PWY-5695,0.37337985659218886,0.0015670223312120157,-0.052252333929229164,-0.21737536656891493,0.28128727627854966,0.35277945495852575,-0.508844287720461,0.21688514891061242,-0.31496930332073725,-0.09730139957117258,0.5177509286755585,0.25096417587508096,0.1894355850744016,-0.13875905108227266,-0.2132184515494863,-0.06288962652398912,-0.30645161290322576,-0.11843432476437502,-0.1998900833513287,-0.12557287103755957,-0.14809384164222872,-0.015763908048976812,0.09412849740976235,0.08213402088922601
PWY-6700,-0.211342860003862,-0.24563075041748345,-0.13353374226358566,0.16165689149560114,0.19840471508043725,0.1680426316911126,0.27311887201134255,-0.0012833440763941565,0.4774039964186262,0.07178273062703487,-0.3236401977971953,-0.14723721218128377,-0.30500782853880376,0.25992118155173405,-0.06765056631277767,-0.2185552035469243,0.031524926686217,0.18058484503546346,0.243942994282751,0.323923011858931,0.2225073313782991,-0.028411694739434962,-0.1455046753332194,-0.01338344536811049
PYRIDNUCSYN-PWY,-0.37360397415316854,-0.017237245643332174,0.0638639636912801,-0.06854838709677419,0.13899332165524161,0.08200333664402548,-0.28943268382946974,0.07571730050725523,0.09496746165316758,0.04773276205378277,0.2335566733536449,0.02882324477863037,-0.347084209704699,-0.07900284150126753,-0.18480154700075854,0.10744408496518257,0.33394428152492667,0.07150059854196014,0.13362716315864767,0.08964253129542574,0.13746334310850436,0.21757859132715676,-0.1642202830053359,-0.04381703346545762
COA-PWY,-0.23196167561399486,-0.04211372515132292,-0.04064070416717824,-0.14956011730205276,-0.059044656428743805,-0.17776562238939753,-0.031527816097953625,-0.14923458259783476,0.23393529163984905,-0.2500462381432775,-0.07724065945159819,-0.40481053972535,-0.4518158134800713,-0.03647695002030681,0.17636814307016835,0.3138980775774617,0.22104105571847504,0.2770189856330815,0.27055829463715203,0.23391384444368757,0.469208211143695,0.39318119494250314,-0.5700920886006464,0.20038501078554471
PWY-1042,-0.08516467317228797,-0.203712903057562,-0.27287329940819677,-0.1719208211143695,0.19198681764253034,0.05008257472890147,-0.1820181475887672,0.20808507524390965,0.21523513509810568,-0.19974325044044483,-0.011008169993101882,-0.3271530076147727,-0.1124486693167156,0.04637521786501318,-0.2713356047233359,0.03502017103813971,0.3720674486803519,0.04986708411131579,0.14996345096238345,0.3624198044397887,0.3548387096774193,0.07075428496401223,-0.18091754083045944,0.029883583493178212
COA-PWY-1,-0.2655793097609507,-0.10929980760203808,0.1103104827394838,-0.1066715542521994,-0.006051160441455111,-0.10640253971708005,-0.03849326384052478,-0.1903015930424478,0.21706848377866877,-0.22783214503363236,-0.06935147095654184,-0.33210987136651166,-0.484521472202907,-0.045642012839479384,0.07516729590308631,0.26714339896633277,0.29068914956011727,0.1884682443618847,0.2947873956494343,0.34133822755027143,0.3977272727272727,0.4118779230936152,-0.5489911583820838,0.1800348404312945
PWY-3841,-0.09121584731874001,-0.05739219288064007,0.08708722321538194,-0.2851906158357771,-0.11002109893554747,-0.21078710023262925,-0.18513426894728585,-0.2497020902926916,0.1043175399240393,-0.2775843700973829,0.06293003846056575,-0.24912830041147394,-0.4949946325804442,-0.1541563566184826,0.03575029927098007,0.26916026745544025,0.23936950146627564,0.09276744323649187,0.10352434068884242,0.2278643484666957,0.44061583577712604,0.35817065497326395,-0.5856884283274103,0.23925200281348202
1CMET2-PWY,0.09816349170911087,-0.09754714011794796,0.029029074405127312,-0.4160557184750733,-0.07921519123359418,-0.1660246524895818,-0.40271286027444264,-0.1068842280768276,-0.1459345549728212,-0.33780108530369346,0.3471242937824793,-0.203965764006741,-0.336059830359923,-0.27935111472837987,0.08910074587536573,0.42867622977576253,0.2716275659824047,0.04986708411131579,0.009361243572927239,0.1299725044753719,0.3170821114369501,0.3535881235636777,-0.5084406750924981,0.18773490488965947
